gvkey,tic,cusip,conm,cik
177658,HZBBF,08660X309,BETAPRO S&P/T C F 2X D B ETF,
177662,IDHQ,46138E214,INVESCO S&P INT DVLP QLT ETF,
177663,PIO,46138E651,INVESCO GLOBAL WATER ETF,
177665,PBD,46138G847,INVESCO GLOBAL CLN ENG ETF,
177683,SPMLF,81733D105,SENTRY SELECT PRIM METALS CO,
177685,IDV,464288448,ISHARES INTL SELECT DIV ETF,
177701,TLLYF,89621T108,TRILOGY INTL PARTNERS INC,1689382
177707,HED.,08661A308,BETAPRO S&P/TSX CPPD 2XR ETF,
177708,HZBRF,08660Y208,HORIZONS BETAPRO CAP ENER BU,
177725,CBLZF,46428Y102,ISHARES CORE BALANCED,
177726,XGRO.,46429U109,ISHARES CORE GROWTH ETF,
177734,ADD,G2287A209,COLOR STAR TECHNOLOGY CO LTD,1747661
177744,PRO,74346Y103,PROS HOLDINGS INC,1392972
177748,PAF,46138E750,INVESCO FTSE RAFI ASIA P ETF,
177749,PXF,46138E743,INVESCO FTSE RAFI DV MKT ETF,
177753,LVL,46138E271,INVESCO S&P GBL DIV OPP ETF,
177764,TOVX,87164U508,THERIVA BIOLOGICS INC,894158
177775,HZRZF,08661P305,BETAPRO CANADIAN GOLD MINERS,
177776,HZNSF,08661V104,HORIZONS BETAPRO GLB GOLD BU,
177779,TRAGF,88079F107,TERAGO INC,1950723
177780,SCOR,20564W204,COMSCORE INC,1158172
177782,BKCC,092533108,BLACKROCK CAPITAL INVT CORP,1326003
177785,ENY,46138E305,INVESCO CAN ENG INC ETF,
177786,CHW,12811L107,CALAMOS GLOBAL DYNAMIC INCM,1396277
177787,DEX,246060107,DELAWARE ENHNCD GLBL DIV&INC,1396167
177791,JTD,67073G105,NUVEEN TAX-ADVNTGD DIV GRWTH,1397173
177792,VTA,46132R104,INVESCO DYNAMIC CREDIT OPPTY,1393662
177797,FTPLF,34961F102,FORTRESS GLOBAL ENTRPRS INC,1441758
177798,VDO.H,64151V203,NEVADO RESOURCES CORP,1832501
177802,CNWHF,G21125102,CHINA NETWORKS INTL HOLDINGS,1443979
177812,CPPMF.,21750U101,COPPER MOUNTAIN MINING CORP,1393355
177856,QNTO,74732T106,QUAINT OAK BANCORP INC,1391933
177871,VRTU,92827P102,VIRTUSA CORP,1207074
177875,GVMUF,403641103,GVIC COMMUNICATIONS CORP,
177879,BLKLF,092382100,BLACKLINE SAFETY CORP,1680711
177881,MASI,574795100,MASIMO CORP,937556
177884,CXO,20605P101,CONCHO RESOURCES INC,1358071
177887,MARIF,56783M106,MARIMACA COPPER CORP,1329800
177889,SRBCF,82967M100,SIRONA BIOCHEM CORP,
177898,HGI,46138G854,INVESCO ZKS INTL MA INCM ETF,
177900,PRED,74039H102,PREDICTIVE TECHNOLOGY GROUP,1382943
177913,DEM,97717W315,WISDOMTREE EMRG MRKTS HI DIV,
177925,WBC,92927K102,WABCO HOLDINGS INC,1390844
177926,TCRRF,88103M300,TERRACE ENERGY CORP,1525047
177942,VGMIF,92834E306,VISIBLE GOLD MINES INC,
177943,DHX,23331S100,DHI GROUP INC,1393883
177945,BKEP,09625U109,BLUEKNIGHT ENERGY PRTNRS LP,1392091
177966,ALSN,01973R101,ALLISON TRANSMISSION HLDGS,1411207
177969,MXSG,593057201,MEXUS GOLD US,1355677
177975,ZAGG,98884U108,ZAGG INC,1296205
177981,SINT,829392703,SINTX TECHNOLOGIES INC,1269026
177983,G,G3922B107,GENPACT LTD,1398659
177992,BIOAF,09064N103,BIOASIS TECHNOLOGIES INC,1703978
178013,VEA,921943858,VANGUARD FTSE DEVEL MKTS ETF,
178015,LULU,550021109,LULULEMON ATHLETICA INC,1397187
178019,GOF,40167F101,GUGGENHEIM STRATEGIC OPP FD,1380936
178020,INB,19248M103,COHEN & STEERS GLBL INCM BD,1395057
178021,ETJ,27829G106,EATON VANCE RISK-MNGD DIV EQ,1395325
178029,ZTR.H,98880A205,ZTR ACQUISITION CORP,
178037,RYOOF,76721A204,RIO SILVER INC,1683274
178071,WPS,464288422,ISHARES INTL DEV PROPRTY ETF,
178073,RILY,05580M108,B. RILEY FINANCIAL INC,1464790
178074,CMGO,125749101,CMG HOLDINGS GROUP INC,1346655
178080,OILY,82937B101,SINO AMERICAN OIL CO,1367408
178081,MELI,58733R102,MERCADOLIBRE INC,1099590
178083,VMW,928563402,VMWARE INC -CL A,1124610
178084,CZZ,G25343107,COSAN LTD,1402902
178085,RBMNF,78132X104,RUGBY RESOURCES LTD,1507131
178091,TDBSF,87234Y209,TDB SPLIT CORP,
178094,ROYIF,780764106,ROYALTIES INC,
178097,CPIX,230770109,CUMBERLAND PHARMACEUTICALS,1087294
178118,SBFM,867781700,SUNSHINE BIOPHARMA INC,1402328
178147,FTMRQ,34961A103,FORTEM RESOURCES INC,1382231
178148,SAND,80013R206,SANDSTORM GOLD LTD,1434614
178153,NEON,64051M709,NEONODE INC,87050
178157,MDXG,602496101,MIMEDX GROUP INC,1376339
178165,NLR,92189F601,VANECK URANIUM NUC ENRGY ETF,
178175,FSBC.2,30289C102,FSB BANCORP INC,1667939
178186,ZZZOF,98959W203,ZINC ONE RESOURCES INC,1489353
178194,OSNDF,55278P103,MBN CORP,
178201,VSI,92849E101,VITAMIN SHOPPE INC,1360530
178236,CEQXF,15671G506,CEQUENCE ENERGY LTD,1473505
178248,SRV,231631300,NXG CUSHING MIDSTREAM E FUND,1400897
178268,FDD,33735T109,FIRST TR STOXX EURO SEL DIV,
178270,DTRE,33736N101,FIRST TR ALERIAN DIS TCH R E,
178289,MOO,92189F700,VANECK AGRIBUSINESS ETF,
178290,GNGXF,461217200,INVENTUS MINING CORP,
178291,LIXT,539319301,LIXTE BIOTECHNOLOGY HOLDINGS,1335105
178298,GNTOF,G38275114,GENTOR RESOURCES INC,1346917
178303,CYCA,12673W407,CYTTA CORP,1383088
178309,MUB,464288414,ISHARES NATL MUNI BOND ETF,
178310,TDC,88076W103,TERADATA CORP,816761
178327,CXDC,16948F107,CHINA XD PLASTICS CO LTD,1353970
178335,TFI,78468R721,SPDR NUVEEN BB MUNPL BND ETF,
178348,VXTRF,929082105,VOXTUR ANALYTICS CORP,1847368
178353,TIIDF,88635T104,TIIDAL GAMING GROUP CORP,
178371,MHLD,G5753U112,MAIDEN HOLDINGS LTD,1412100
178377,SPI,G8651P110,SPI ENERGY CO LTD,1210618
178384,ARNGF,04016A101,ARGONAUT GOLD INC,1348909
178387,OMTK,68215W107,OMNITEK ENGINEERING CORP,1404804
178395,IID,92912Y109,VOYA INTL HI DIV EQ INCM FD,1395627
178401,AVCVF,609442108,MONITOR VENTURES INC,1517179
178403,SHIP,Y73760400,SEANERGY MARITIME HOLDINGS C,1448397
178405,FLY,34407D109,FLY LEASING LTD  -ADR,1407298
178406,HTY,41013P749,JOHN HANCOCK TAX-ADV GLBL FD,1396502
178413,FTLF,33817P306,FITLIFE BRANDS INC,1374328
178415,HMTA,43787N108,HOMETOWN BANKSHARES CORP,1461640
178430,PXH,46138E727,INVESCO FTSE RAFI EMG MK ETF,
178435,PDN,46138E735,INVESCO FTSE RAFI SMLMID ETF,
178482,PAANF,69783Y202,PAN AMERICAN ENERGY CORP,1953588
178494,MARK,75955K300,REMARK HOLDINGS INC,1368365
178507,MSCI,55354G100,MSCI INC,1408198
178513,THCT,87248Q101,THC THERAPEUTICS INC,1404935
178518,TSAT,879512309,TELESAT CORP,1845840
178519,LPLA,50212V100,LPL FINANCIAL HOLDINGS INC,1397911
178526,NYF,464288323,ISHARES NY MUNI BD ETF,
178527,CMF,464288356,ISHARES CALIFORNIA MUNI BOND,
178528,BWX,78464A516,SPDR BB INTL TREASURY BD ETF,
178529,MAIN,56035L104,MAIN STREET CAPITAL CORP,1396440
178539,ROIC,76131N101,RETAIL OPPORTUNITY INVTS CP,1407623
178540,AFGR,008294209,AFFINION GROUP HOLDINGS INC,1404624
178545,FFNW,32022K102,FIRST FINANCIAL NORTHWEST,1401564
178552,TGH,G8766E109,TEXTAINER GROUP HOLDINGS LTD,1413159
178570,GOVI,46138E107,INVESCO EQ WE 0-30 YR TR ETF,
178571,PZT,46138E529,INVESCO NY AMT-FR MUNI ETF,
178572,PWZ,46138E206,INVESCO CALF AMT FREE MUN BD,
178573,PCY,46138E784,INVESCO EMERGING MKTS SOV DB,
178575,PZA,46138E537,INVESCO NTL AMT-FR MUNI ETF,
178578,SPKMF,846311207,SPACKMAN EQUITIES GROUP INC,
178599,SHM,78468R739,SPDR NUVN BLMBRG BRCLYS ST,
178644,TPCS,878739200,TECHPRECISION CORP,1328792
178655,KALO,48343P208,KALLO INC,1389034
178657,EVXXF,29877A205,EUROPEAN ELECTRIC METALS INC,
178672,CVI,12662P108,CVR ENERGY INC,1376139
178674,EPSN,294375209,EPSILON ENERGY LTD,1726126
178675,DNGDF,26780B106,DYNACOR GROUP INC,
178684,GRZZU,39869R405,GRIZZLY ENERGY LLC,1384072
178698,AACH,000307108,AAC HOLDINGS INC,1606180
178703,PZN,74731Q103,PZENA INVESTMENT MANAGEMENT,1399249
178704,ULTA,90384S303,ULTA BEAUTY INC,1403568
178707,EFU,74348A475,PROSHARES ULTRA SHORT MSCI,
178708,EFZ,74347R370,PROSHARES SHORT MSCI EAFE,
178719,RDLCF,757637400,REDLINE COMMUNICATIONS GROUP,
178720,AGSVF,04014D206,ARGENTUM SILVER CORP,1527574
178726,BTBIF,11777P300,BTB REAL ESTATE INVESTMNT TR,
178734,BVLDF,09752Q202,BOLD VENTURES INC,
178735,GPHOF,38871F102,GRAPHITE ONE INC,1620742
178739,DGS,97717W281,WISDOMTREE EMERG MKTS SMACAP,
178741,BCOMF,M15629104,B COMMUNICATIONS LTD,1402606
178749,AVLIF,00782P108,ADVANTAGE LITHIUM CORP,
178750,FANH,30712A103,FANHUA INC -ADS,1413855
178763,EEV,74347B284,PROSHARES ULT SHRT MSCI EMRG,
178764,EUM,74347R396,PROSHARES SHRT MSCI EMRG MKT,
178795,GRO.5,00850H103,AGRIA CORP -ADS,1413257
178796,ANTE,00941Q203,AIRNET TECHNOLOGY INC -ADS,1413745
178797,APEI,02913V103,AMERICAN PUBLIC EDUCATION,1201792
178798,AREXQ,03834A103,APPROACH RESOURCES INC,1405073
178803,ENSG,29358P101,ENSIGN GROUP INC,1125376
178806,LLFLQ,55003T107,LL FLOORING HOLDINGS INC,1396033
178814,SCU,811246107,SCULPTOR CAPITAL MANAGEMENT,1403256
178823,ACIC,910710102,AMERICAN COASTAL INSURA CORP,1401521
178830,EWV,74348A459,PROSHARES ULTRASHRT MSCI JPN,
178831,FXP,74347B227,PROSHARES ULTRSH FTSE CHN 50,
178834,NFBK,66611T108,NORTHFIELD BANCORP INC,1493225
178845,CUT,46138E545,INVESCO MSCI GBL TIMBER ETF,
178847,RSLS,76090R200,RESHAPE LIFESCIENCES INC,1427570
178851,NES,67091K302,NUVERRA ENVIRONMENTAL SOLUTN,1403853
178862,CIM,16934Q802,CHIMERA INVESTMENT CORP,1409493
178865,RBCN,78112T206,RUBICON TECHNOLOGY INC,1410172
178870,SRCI,78470V108,SRC ENERGY INC,1413507
178874,ORLA,68634K106,ORLA MINING LTD,1680056
178875,SVAUF,86212H105,STORAGEVAULT CANADA INC,1962652
178876,PTOI,72759R102,PLASTIC2OIL INC,1381105
178877,NMM,Y62267409,NAVIOS MARITIME PARTNERS LP,1415921
178882,IVDA,46583A204,IVEDA SOLUTIONS INC,1397183
178900,PVI,46138G862,INVESCO FLTG RT MUNI INC ETF,
178901,PHB,46138E719,INVESCO FUND HGH YLD CP BD,
178905,FRCGF,30376T109,FAIRCOURT GOLD INCOME CORP,
178906,AEHL,G041JN122,ANTELOPE ENTERPRISE HOLDINGS,1470683
178907,FPAY,33939J303,FLEXSHOPPER INC,1397047
178912,IFEU,464288471,ISHARES EUR DEV REAL EST ETF,
178913,IFGL,464288489,ISHARES INTL DEV REAL ESTATE,
178915,IEUS,464288497,ISHARES MSCI EUROPE SMCP ETF,
178916,BKF,464286657,ISHARES MSCI BIC ETF,
178917,ECH,464286640,ISHARES MSCI CHILE ETF,
178918,AIA,464288430,ISHARES ASIA 50 ETF,
178923,CALB,13005U101,CALIFORNIA BANCORP,1752036
178951,LBRMF,505435107,LABRADOR IRON MINES HLDG LTD,1488158
178968,FGD,33734X200,FIRST TRUST DOW JNS GLBL SEL,
178973,TITN,88830R101,TITAN MACHINERY INC,1409171
178976,LRN,86333M108,STRIDE INC,1157408
178978,SLSDF,81619L106,SELECT SANDS CORP,1546241
178984,PKO,72202B100,PIMCO INCOME OPPORTUNITY FD,1412350
178997,FNV,351858105,FRANCO-NEVADA CORP,1456346
178999,OGLDF,689007102,OTIS GOLD CORP,1469907
179003,FABK,31848L104,FIRST ADVANTAGE BANCORP,1404306
